name,district,lat,lon,flats,pop,dist_all,dist_public,openness_penalty,category_all,category_public
Lung Yat Estate,Tuen Mun,22.386862,113.96761,1000,2700,7.444484527299792,7.950441915266025,0.5059573879662329,Well,Well
Fung Wo Estate,Sha Tin,22.387539,114.193375,1600,4320,19.444893722593015,19.444893722593015,0.0,Well,Well
Po Heung Estate,Tai Po,22.447039,114.16543,500,1350,6.791018361881924,31.63024646362957,24.839228101747647,Well,Well
So Uk Estate,Sham Shui Po,22.34159,114.15684,7000,18900,9.808510317603439,72.1166561096836,62.30814579208017,Well,Well
Wah Ha Estate,Eastern,22.264769,114.23649,200,540,4.110682838432947,7.2247425846397935,3.1140597462068467,Well,Well
Cheung Sha Wan Estate,Sham Shui Po,22.3346,114.15634,1400,3780,13.743316713680336,21.72775949951404,7.9844427858337035,Well,Well
Hung Fuk Estate,Yuen Long,22.43776,113.99781,4900,13230,8.541258823976284,80.31649654934046,71.77523772536418,Well,Well
Tung Wui Estate,Wong Tai Sin,22.332422,114.19376,2400,6480,20.532056752183195,41.03912287526997,20.507066123086773,Well,Well
Kwai Luen Estate,Kwai Tsing,22.36264,114.12528,3000,8100,18.091880339434933,18.091880339434933,0.0,Well,Well
On Tat Estate,Kwun Tong,22.32121,114.23523,9400,25380,38.44807224897183,38.44807224897183,0.0,Well,Well
Ying Tung Estate,Islands,22.296284,113.952385,3600,9720,76.95939455869288,91.5087611442004,14.549366585507528,Well,Well
Yan Tin Estate,Tuen Mun,22.414415,113.97557,4700,12690,34.43070527716374,34.43070527716374,0.0,Well,Well
Kwai Tsui Estate,Kwai Tsing,22.355677,114.12873,900,2430,33.963470448038414,72.36918724924791,38.4057168012095,Well,Well
Long Shin Estate,Yuen Long,22.442337,114.04498,1200,3240,66.0022276455403,66.0022276455403,0.0,Well,Well
On Tai Estate,Kwun Tong,22.327152,114.22902,8600,23220,38.25058469726123,38.25058469726123,0.0,Well,Well
Lin Tsui Estate,Eastern,22.26093,114.236145,300,810,8.817519708544388,95.97260537731972,87.15508566877534,Well,Well
Mun Tung Estate,Islands,22.276863,113.93296,3900,10530,1.890313753004913,1.890313753004913,0.0,Well,Well
Hoi Ying Estate,Sham Shui Po,22.32841,114.1484,1300,3510,4.896899662968175,4.896899662968175,0.0,Well,Well
Po Shek Wu Estate,North,22.503332,114.12431,1100,2970,13.433236475461085,19.620718600401137,6.187482124940052,Well,Well
Shek Yam East Estate,Kwai Tsing,22.3727,114.13965,2400,6480,5.429814016491023,10.584375370511122,5.154561354020099,Well,Well
Kai Chuen Court,Wong Tai Sin,22.3396,114.1999,1000,2700,21.976833146258393,126.33815365158996,104.36132050533158,Well,Well
Lai Tsui Court,Sham Shui Po,22.334057,114.15447,1300,3510,60.54380028836471,66.02830264652434,5.484502358159631,Well,Well
Fai Ming Estate,North,22.4811,114.1361,1000,2700,6.264165390924437,6.264165390924437,0.0,Well,Well
Hoi Tat Estate,Sham Shui Po,22.33005,114.14964,3300,8910,8.050894839688892,8.050894839688892,0.0,Well,Well
Chun Yeung Estate,Sha Tin,22.3993,114.1886,4800,12960,33.8818514056091,33.8818514056091,0.0,Well,Well
Hin Fat Estate,Tuen Mun,22.389,113.98071,900,2430,74.68436893227646,110.38849082145516,35.70412188917871,Well,Well
Yip Wong Estate,Tuen Mun,22.38778,113.96886,3300,8910,79.26968012505931,79.26968012505931,0.0,Well,Well
Fu Tip Estate,Tai Po,22.46125,114.17308,7400,19980,10.564017829673578,34.29763838822044,23.733620558546864,Well,Well
Queens Hill Estate,North,22.50422,114.15693,8900,24030,11.893425815361743,63.19790423283179,51.304478417470044,Well,Well
Wo Tin Estate,Tuen Mun,22.41427,113.96867,4200,11340,26.539642881498402,26.539642881498402,0.0,Well,Well
Ching Tin Estate,Tuen Mun,22.412277,113.97133,5200,14040,15.429791616491238,46.47072300624245,31.040931389751215,Well,Well
Cheung Tung Estate,Islands,22.298462,113.95334,4800,12960,194.15164215942005,194.15164215942005,0.0,Well,Well
Choi Shek Estate,North,22.50547,114.12382,2900,7830,115.18441413437388,115.18441413437388,0.0,Well,Well
